,descricao
96,"Depois de falar sobre Back-End e Front-End, acatamos uma sugestão e assim, voltamos para explicar o nosso ponto de vista sobre motivos que temos para incentivarmos as pessoas a estudarem sobre desenvolvimento web. A evolução da tecnologia, a evolução da internet, áreas envolvidas no desenvolvimento de software, dificuldades, facilidades, comunidades, mercado de trabalho, cultura e ambientação... falamos sobre tudo isso com muito humor, samba e treta, como qualquer outro debate saudável, então cuidado ao dar play, o bagulho é louco.  Participantes:  Kaio Teixeira Gustavo Castilião Reginaldo Junior  Links:  Ilha das Flores - https://www.youtube.com/watch?v=LETSDS8qm9U  Inteligência Artificial e Redes Neurais em PHP - Gabriel Couto - https://www.youtube.com/watch?v=2sNBvlaImLc  ElectronJs - https://electronjs.org  Vuido - https://github.com/mimecorg/vuido O crescimento da internet no País - https://opiniao.estadao.com.br/noticias/geral,o-crescimento-da-internet-no-pais,70002051911 Alguns dados sobre a internet no Brasil e no mundo - https://tecnoblog.net/192063/internet-brasil-mundo-facebook/ Mais de 4 bilhões de pessoas usam a internet ao redor do mundo - https://www.tecmundo.com.br/internet/126654-4-bilhoes-pessoas-usam-internet-no-mundo.htm Indústria de games entra em nova fase de desenvolvimento no país - https://www.em.com.br/app/noticia/economia/2018/04/03/internas_economia,948556/industria-de-games-entra-em-nova-fase-de-desenvolvimento-no-pais.shtml Infográfico: como é o mercado de Desenvolvedores Web no Brasil? - http://tutano.trampos.co/14187-infografico-mercado-de-desenvolvimento-brasil/ Mentoria Training Center - https://github.com/training-center/mentoria O melhor jeito de aprender é ensinar - https://exame.abril.com.br/blog/sua-carreira-sua-gestao/o-melhor-jeito-de-aprender-e-ensinando/ Mercado de trabalho para programação - https://www.tiagogouvea.com.br/mercado-trabalho-programacao Produtoras de videogames estão contratando. Lá fora. - https://oglobo.globo.com/economia/emprego/produtoras-de-videogames-estao-contratando-la-fora-14668292 Teste do Pescoço - http://negrobelchior.cartacapital.com.br/racismo-no-brasil-faca-o-texte-do-pescoco/ Episódio #0 - Periferia e a Comunidade - http://quebradev.com.br/podcast-0-comunidade-desenvolvimento-periferia.html Meetup Backend Brasil - https://www.meetup.com/pt-BR/BackEndBr/events/250552582/   Músicas:  Originais do Samba - A Subida do Morro Jorge Ben - Porque é Proibido Pisar Na Grama Noriel Vilela - 16 Toneladas Aparecida - Tereza Aragão Candeia - Cabocla Jurema Zeca Pagodinho - Pisa Como Eu Pisei Clementina de Jesus, Clara Nunes e Candeia – Não Vadeia Quelé Dona Ivone Lara - Alguém Me Avisou Leci Brandão - Zé do Caroço "
97,"Sobre este episódio:  Continuando a série de como iniciar no desenvolvimento web e dessa vez falamos sobre o mundo backend. Toda aquela parte que você não vê no software mas faz todo o processamento e mágica dos seus dados. Passamos sobre diversos temas que envolve o backend, lógica, lógica de programação, servidores, linguagens de programação, mercado de trabalho, ambiente de trabalho e a pouca diversificação nesta categoria de trabalho  Participantes:  Kaio Teixeira Gustavo Castilião Reginaldo Junior  Links  Lógica - https://pt.wikipedia.org/wiki/L%C3%B3gica Lógica de Programação - https://pt.wikibooks.org/wiki/Introdu%C3%A7%C3%A3o_%C3%A0_programa%C3%A7%C3%A3o/Defini%C3%A7%C3%B5es_sobre_L%C3%B3gica_de_Programa%C3%A7%C3%A3o O que é um banco de dados - https://dicasdeprogramacao.com.br/o-que-e-um-banco-de-dados/ Banco de Dados - https://pt.wikipedia.org/wiki/Banco_de_dados O Que é um WebServer - https://developer.mozilla.org/pt-BR/docs/Learn/Common_questions/o_que_e_um_web_server Introdução ao Padrão MVC - https://www.devmedia.com.br/introducao-ao-padrao-mvc/29308 WebService - https://pt.wikipedia.org/wiki/Web_service O que é PHP - https://becode.com.br/o-que-e-php/ Primeira Linguagem de programação - https://becode.com.br/primeira-linguagem-de-programacao/ Javascript linguagem mais utilizada - https://www.tecmundo.com.br/internet/128093-javascript-linguagem-mais-usada-janeiro-2018-aponta-analise.htm Ranking de Linguagens 2018 - http://redmonk.com/sogrady/2018/03/07/language-rankings-1-18/ O que é paradigma? - https://pt.stackoverflow.com/questions/141624/o-que-%C3%A9-paradigma Frameworks e Bibliotecas - https://becode.com.br/framework-biblioteca-api-entenda-as-diferencas/ Microservices Security - http://proficientblog.com/microservices-security/  Músicas:  De Menos Crime - Zona Leste Alerta (Apresentação DJ Wlad) RZO - O Trem Racionais MC’s - Qual Mentira Vou Acreditar SNJ - Se Tu Lutas Tu Conquistas Sabotage - Mun Ra Ndee Naldinho - Melô do Corinthians Trilha Sonora do Gueto - Favela Sinistra Dina Di - Amor e Ódio Thaide e DJ Hum - Que Tempo Bom "
98,"Sobre este episódio:  Nesse episódio nós iremos dar uma pequena prévia de como podem ser dados os primeiros passos para se tornar um desenvolvedor web. Abordamos desde conceitos técnicos estruturais sobre a Web até um dos destinos da área: como iniciar no Desenvolvimento Front-End. Não deixamos de citar referências, comunidades e sem deixar de lado a cultura Hip Hop. Deixamos explícitas muitas de nossas opiniões e caso você tenha algo a acrescentar, entre em contato com a gente, o compartilhamento de ideias é sempre bem vindo!  Participantes:  Kaio Teixeira Gustavo Castilião Reginaldo Junior Bruno Dias  Links:  Back-End Brasil - https://github.com/backend-br/ Front End Brasil - https://github.com/frontendbr Training Center (Mentoria) - https://github.com/training-center/mentoria Guanabara Cursos (Playlist) - https://www.youtube.com/user/cursosemvideo/playlists Nerdcast 238 - Profissão Desenvolvedor de Games - https://jovemnerd.com.br/nerdcast/nerdcast-238-profissao-desenvolvedor-de-games/ Udemy Cursos - https://www.udemy.com/ Code Academy - https://www.codecademy.com/pt Como funciona a internet - https://tableless.com.br/como-funciona-internet-e-world-wide-web/ Como funciona a Web - https://www.youtube.com/watch?v=LMfeZ6XD0No O que é hospedagem - https://uolhost.uol.com.br/academia/noticias/2014/03/11/o-que-e-hospedagem.html Como hospedar um site - https://www.youtube.com/watch?v=31eGheRQACI O  que é Controle de Versão? - https://git-scm.com/book/pt-br/v1/Primeiros-passos-Sobre-Controle-de-Vers%C3%A3o Git e GitHub para iniciantes - https://www.udemy.com/git-e-github-para-iniciantes/ Curso HTML5 (Gustavo Guanabara) - https://www.youtube.com/watch?v=epDCjksKMok&list=PLHz_AreHm4dlAnJ_jJtV29RFxnPHDuk9o Curso CSS3 (Node Studio Treinamentos) - https://www.youtube.com/watch?v=FRhM6sMOTfg&list=PLwXQLZ3FdTVGf7GUtiOFLc_9AXO25iIzG Curso de Lógica de Programação (Node Studio Treinamentos) - https://www.youtube.com/watch?v=4ZAOWlZRbZk&list=PLwXQLZ3FdTVG_mqZcOXhfFf3Po6whFv8o Curso de HTML5 (Node Studio Treinamentos) - https://www.youtube.com/watch?v=YoDJsSII2Ug&list=PLwXQLZ3FdTVGKl3iPEyEWpFoYkMUxWW5O Curso JavaScript (Keven Jesus) - https://www.youtube.com/watch?v=ftWXUUM5YxU&list=PLBnXXDBNZQpJKH1Fx2EAbKbG9p_dV_pKW Stackoverflow - https://stackoverflow.com  Músicas:  Drake & Lil Baby - Yes Indeed Criolo - Subirusdoistiozin J Cole - A Tale of 2 Cities Kendrick Lamar - DNA Cardi B - Red Barz R.U.A 3 (Selva De Concreto) Vietnã/Nocivo Shomon/NP Vocal/Helião/Chico/Clara Lima/Raillow Drik Barbosa - Camélia Dr Dre. & Snoop Dogg - Nuthin But A G Thang Djonga - UFA Leschea - Fulton St "
99,"Neste episódio falamos um pouco sobre a ideia do podcast e seu surgimento, pautamos problemas de locomoção entre periferia e o centro, a forma como conhecemos a área de tecnologia e as principais dificuldades em se habituar no ambiente de trabalho. Falamos também sobre a síndrome do impostor e para finalizar, sobre as comunidades de desenvolvimento e como elas podem ajudar você a crescer pessoalmente e profissionalmente, tudo isso com muita cultura Hip Hop.  Participantes: Kaio Teixeira - Host - https://twitter.com/teixeirak_ Gustavo Castilião - https://twitter.com/gucastiliao Reginaldo Junior - https://twitter.com/reginaldoojnr  Links: https://github.com/QuebraDev/  https://github.com/backend-br/  https://github.com/training-center  https://www.codamos.club/  https://www.cartacapital.com.br/sociedade/sindrome-do-impostor-mais-uma-pedra-no-caminho-das-mulheres  https://phpsp.org.br/  https://github.com/cezaraugusto/You-Dont-Know-JS  https://medium.com/trainingcenter/entendendo-de-uma-vez-por-todas-express%C3%B5es-regulares-parte-1-introdu%C3%A7%C3%A3o-dfe63e289dc3  Músicas: Worst Comes to Worst - Dilated Peoples You Can’t Hide, You Can’t Run - Dilated Peoples The World Is Yours - Nas Brinquedo Assassino - A Família W Brasil - Jorge Ben Bom Senso - Tim Maia Real Hip-Hop - Das EFX The Best Secret - Pete Rock "
100,"No quinto episódio do Quebra das Ideias, o podcast da Periferia em Movimento, a jornalista Aline Rodrigues fala sobre práticas que vão na contramão do punitivismo. E para conversar com isso, convidamos Joana Blaney, co-fundadora da linha de Justiça Restaurativa do Centro de Direitos Humanos e Educação Popular - CDHEP Campo Limpo. A entrevista foi realizada em junho de 2020 e transmitida ao vivo no facebook da Periferia em Movimento. Saiba mais no site: http://periferiaemmovimento.com.br/podcast3 Quer ouvir todos os episódios? Acesse: https://anchor.fm/periferia-em-movimento > RECEBA NOTÍCIAS NO CELULAR: Mande um “salve” para (11) 957816636 ou clique em http://wa.me/5511957816636 > NOSSO JORNALISMO NÃO PODE PARAR: Contribua a partir de R$ 5 por mês em www.catarse.me/PEM Apresentação: Aline Rodrigues Roteiro: Thiago Borges Edição de áudio: Paulo Cruz Adaptação para vídeo: Pedro Ariel Salvador Equipe PEM: Camila Lima, Karina Rodrigues e Laís Diogo "
101,"No quarto episódio do Quebra das Ideias, o podcast da Periferia em Movimento, a jornalista Aline Rodrigues fala que podemos aprender com a luta das mulheres nas quebradas. E para conversar com isso, convidamos Regiane Soares, educadora popular em raça, gênero e sexualidade; e Felícia Mendes, integrante de movimentos por moradia no Extremo Sul de São Paulo. A entrevista foi realizada antes da pandemia, no final de 2019, e transmitida ao vivo no facebook da Periferia em Movimento. O assunto continua muito atual. Saiba mais no site: http://periferiaemmovimento.com.br/podcast4 Quer ouvir todos os episódios? Acesse: https://anchor.fm/periferia-em-movimento > RECEBA NOTÍCIAS NO CELULAR: Mande um “salve” para (11) 957816636 ou clique em http://wa.me/5511957816636 > NOSSO JORNALISMO NÃO PODE PARAR: Contribua a partir de R$ 5 por mês em www.catarse.me/PEM Apresentação: Aline Rodrigues Roteiro: Thiago Borges Edição de áudio: Paulo Cruz Adaptação para vídeo: Pedro Ariel Salvador Equipe PEM: Camila Lima, Karina Rodrigues e Laís Diogo "
102,"O humor cumpre que papel em nosso dia a dia? E o que isso tem a ver com o atual momento de pandemia e distanciamento social? No terceiro episódio do Quebra das Ideias, o podcast da Periferia em Movimento, a jornalista Aline Rodrigues fala sobre a função do riso e as origens negras e indígenas do nosso humor. E para conversar com isso, convidamos Vanessa Rosa, artista do Terreiros do Riso, educadora, palhaça e pesquisadora das raízes ancestrais do humor brasileiro. A entrevista foi realizada em maio de 2020 e transmitida ao vivo no facebook da Periferia em Movimento. Saiba mais no site: http://periferiaemmovimento.com.br/podcast3 Quer ouvir todos os episódios? Acesse: https://anchor.fm/periferia-em-movimento > RECEBA NOTÍCIAS NO CELULAR: Mande um “salve” para (11) 957816636 ou clique em http://wa.me/5511957816636 > NOSSO JORNALISMO NÃO PODE PARAR: Contribua a partir de R$ 5 por mês em www.catarse.me/PEM Apresentação: Aline Rodrigues Roteiro: Thiago Borges Edição de áudio: Paulo Cruz Adaptação para vídeo: Pedro Ariel Salvador Foto em destaque: Fernando Solidade Equipe PEM: Camila Lima, Karina Rodrigues e Laís Diogo "
103,"No segundo episódio do Quebra das Ideias, o podcast da Periferia em Movimento, a jornalista Aline Rodrigues fala sobre o impacto da pandemia entre quem já sente os efeitos da guerra às drogas, como população no cárcere e em situação de rua. O programa de hoje conecta periferias de São Paulo e Recife, onde vive Ingrid Farias. Ela é fundadora da Rede Nacional de Feministas Antiproibicionistas (RENFA) e integrante da Escola Livre de Redução de Danos.  A entrevista foi realizada em abril de 2020 e transmitida ao vivo no facebook da Periferia em Movimento. Saiba mais no site: http://periferiaemmovimento.com.br/podcast2 Quer ouvir todos os episódios? Acesse: https://anchor.fm/periferia-em-movimento  RECEBA NOTÍCIAS NO CELULAR: Mande um “salve” para (11) 957816636 ou clique em http://wa.me/5511957816636 NOSSO JORNALISMO NÃO PODE PARAR: Contribua a partir de R$ 5 por mês em www.catarse.me/PEM Apresentação: Aline Rodrigues Roteiro: Thiago Borges Edição de áudio: Paulo Cruz Adaptação para vídeo: Pedro Ariel Salvador Equipe PEM: Camila Lima, Karina Rodrigues e Laís Diogo "
104,"Você está vivendo o luto neste momento? Nós estamos preparades para lidar com a morte? Na estreia do Quebra das Ideias, o podcast da Periferia em Movimento, a jornalista Aline Rodrigues aborda o atual momento de pandemia de coronavírus, com milhares de vidas perdidas. Milhares de histórias que foram interrompidas. E para falar sobre isso, recebe a Alexya Salvador. Mãe, professora e primeira reverenda transgênero da Igreja da Comunidade Metropolitana, Alexya é ativista dos direitos humanos e está pré-candidata a uma vaga na Câmara de Vereadores de São Paulo nas eleições municipais de 2020. A entrevista foi realizada em maio e transmitida ao vivo no facebook da Periferia em Movimento. Saiba mais no site: periferiaemmovimento.com.br/podcast1 Contribua a partir de R$ 5 por mês em www.catarse.me/PEM Apresentação: Aline Rodrigues Roteiro: Thiago Borges Edição de áudio: Paulo Cruz Equipe PEM: Camila Lima, Karina Rodrigues, Laís Diogo e Pedro Ariel Salvador "
105,"Já reparou que, entra governo, sai governo, eles inventam um nome diferente pra políticas para construir casa? E mesmo assim, o problema de (falta de) moradia não é resolvido na cidade. Confira os depoimentos que ajudam a explicar isso.  Ouça abaixo, entenda e compartilhe!  Essa é uma co-produção da jornalista Gisele Brito (que também editou esse áudio) e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola.  "
106,"Especial Eleições 2020 | Logo, logo, começa oficialmente a campanha eleitoral. E você tá sabendo das candidaturas coletivas? São candidaturas compostas por mais de uma pessoa na disputa por uma única vaga.  Ouça abaixo, entenda e compartilhe!  Essa é uma co-produção da jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. A edição de áudio é do Yago Rodrigues. O conteúdo faz parte do projeto Eleições 2020 - Narrativas do Jornalismo Periférico, do Fórum de Comunicação e Territórios, em  parceria com a Fundação Rosa Luxemburgo. "
107,"A partir de hoje, começamos uma série especial sobre as Eleições Municipais. Pois é: além de tudo, este ano tem eleições. Ouça abaixo, compartilhe e fala pra gente: Como a pandemia pode influenciar a votação? Essa é uma co-produção da jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. A edição de áudio é do Yago Rodrigues. O conteúdo faz parte do projeto Eleições 2020 - Narrativas do Jornalismo Periférico, do Fórum de Comunicação e Territórios, uma realização de Alma Preta, Desenrola e Não me Enrola, Embarque no Direito, Nós, Mulheres da Periferia, Periferia em Movimento, Preto Império, Revista Amazonas, Fluxo Mídia, Maloka Filmes, Jornal Paraisópolis, Rádio Heliópolis, Rádio Cantareira, Revista Grajaú e Sarau Comics, com parceria da Fundação Rosa Luxemburgo. "
108,"Nesta edição histórica do nosso podcast, também nos aproximamos de outro fato memorável, porém lamentável: o Brasil se aproxima da triste marca de 100 mil mortos por covid-19. Enquanto isso, no final de semana donos de bares esperam faturar alto com a final do Campeonato Paulista. Toca a vida, disse o Presidente da República. Ouça abaixo, compartilhe e fala pra gente: Qual é a sua opinião a respeito disso? Essa é uma co-produção da jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. A edição de áudio é do Yago Rodrigues. O boletim foi especialmente criado para tratar de informações apuradas e do interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus.  "
